REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
1962-10,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,437,,,,0
1962-10,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,81,,,,0
1962-10,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1498,,,,0
1962-10,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,651,,,,0
1962-10,Quebec,2016A000224,Units,300,units,0,v15819033,7,17803,,,,0
1962-10,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,13851,,,,0
1962-10,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,3952,,,,0
1962-10,Ontario,2016A000235,Units,300,units,0,v15819036,10,25208,,,,0
1962-10,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,13941,,,,0
1962-10,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,11267,,,,0
1962-10,Manitoba,2016A000246,Units,300,units,0,v15819039,13,1678,,,,0
1962-10,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,1595,,,,0
1962-10,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,83,,,,0
1962-10,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,947,,,,0
1962-10,Alberta,2016A000248,Units,300,units,0,v15819043,17,5719,,,,0
1962-10,British Columbia,2016A000259,Units,300,units,0,v15819044,18,5365,,,,0
1962-10,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,3799,,,,0
1962-10,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,1566,,,,0
1963-01,Canada,2016A000011124,Units,300,units,0,v15819027,1,54117,,,,0
1963-01,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2337,,,,0
1963-01,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,419,,,,0
1963-01,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,73,,,,0
1963-01,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1407,,,,0
1963-01,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,438,,,,0
1963-01,Quebec,2016A000224,Units,300,units,0,v15819033,7,16792,,,,0
1963-01,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,13425,,,,0
1963-01,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,3367,,,,0
1963-01,Ontario,2016A000235,Units,300,units,0,v15819036,10,22910,,,,0
1963-01,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,12852,,,,0
1963-01,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,10058,,,,0
1963-01,Manitoba,2016A000246,Units,300,units,0,v15819039,13,1361,,,,0
1963-01,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,1293,,,,0
1963-01,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,68,,,,0
1963-01,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,751,,,,0
1963-01,Alberta,2016A000248,Units,300,units,0,v15819043,17,4669,,,,0
1963-01,British Columbia,2016A000259,Units,300,units,0,v15819044,18,5297,,,,0
1963-01,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,3663,,,,0
1963-01,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,1634,,,,0
1963-04,Canada,2016A000011124,Units,300,units,0,v15819027,1,62211,,,,0
1963-04,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2370,,,,0
1963-04,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,320,,,,0
1963-04,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,71,,,,0
1963-04,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1497,,,,0
1963-04,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,482,,,,0
1963-04,Quebec,2016A000224,Units,300,units,0,v15819033,7,15437,,,,0
1963-04,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,11608,,,,0
1963-04,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,3829,,,,0
1963-04,Ontario,2016A000235,Units,300,units,0,v15819036,10,30851,,,,0
1963-04,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,16624,,,,0
1963-04,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,14227,,,,0
1963-04,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2307,,,,0
1963-04,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2238,,,,0
1963-04,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,69,,,,0
1963-04,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1158,,,,0
1963-04,Alberta,2016A000248,Units,300,units,0,v15819043,17,4691,,,,0
1963-04,British Columbia,2016A000259,Units,300,units,0,v15819044,18,5397,,,,0
1963-04,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,3593,,,,0
1963-04,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,1804,,,,0
1963-07,Canada,2016A000011124,Units,300,units,0,v15819027,1,68948,,,,0
1963-07,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2665,,,,0
1963-07,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,329,,,,0
1963-07,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,37,,,,0
1963-07,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1610,,,,0
1963-07,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,689,,,,0
1963-07,Quebec,2016A000224,Units,300,units,0,v15819033,7,16682,,,,0
1963-07,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,12886,,,,0
1963-07,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,3796,,,,0
1963-07,Ontario,2016A000235,Units,300,units,0,v15819036,10,34851,,,,0
1963-07,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,19134,,,,0
1963-07,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,15717,,,,0
1963-07,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2554,,,,0
1963-07,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2452,,,,0
1963-07,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,102,,,,0
1963-07,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1202,,,,0
1963-07,Alberta,2016A000248,Units,300,units,0,v15819043,17,5007,,,,0
1963-07,British Columbia,2016A000259,Units,300,units,0,v15819044,18,5987,,,,0
1963-07,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,3946,,,,0
1963-07,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2041,,,,0
1963-10,Canada,2016A000011124,Units,300,units,0,v15819027,1,77929,,,,0
1963-10,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2491,,,,0
1963-10,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,303,,,,0
1963-10,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,36,,,,0
1963-10,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1513,,,,0
1963-10,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,639,,,,0
1963-10,Quebec,2016A000224,Units,300,units,0,v15819033,7,20687,,,,0
1963-10,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,15428,,,,0
1963-10,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,5259,,,,0
1963-10,Ontario,2016A000235,Units,300,units,0,v15819036,10,37540,,,,0
1963-10,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,20083,,,,0
1963-10,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,17457,,,,0
1963-10,Manitoba,2016A000246,Units,300,units,0,v15819039,13,3088,,,,0
1963-10,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2951,,,,0
1963-10,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,137,,,,0
1963-10,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1708,,,,0
1963-10,Alberta,2016A000248,Units,300,units,0,v15819043,17,5584,,,,0
1963-10,British Columbia,2016A000259,Units,300,units,0,v15819044,18,6831,,,,0
1963-10,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,4723,,,,0
1963-10,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2108,,,,0
1964-01,Canada,2016A000011124,Units,300,units,0,v15819027,1,61806,,,,0
1964-01,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,1851,,,,0
1964-01,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,263,,,,0
1964-01,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,29,,,,0
1964-01,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1251,,,,0
1964-01,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,308,,,,0
1964-01,Quebec,2016A000224,Units,300,units,0,v15819033,7,15672,,,,0
1964-01,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,11555,,,,0
1964-01,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,4117,,,,0
1964-01,Ontario,2016A000235,Units,300,units,0,v15819036,10,30673,,,,0
1964-01,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,17260,,,,0
1964-01,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,13413,,,,0
1964-01,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2503,,,,0
1964-01,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2450,,,,0
1964-01,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,53,,,,0
1964-01,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,982,,,,0
1964-01,Alberta,2016A000248,Units,300,units,0,v15819043,17,2997,,,,0
1964-01,British Columbia,2016A000259,Units,300,units,0,v15819044,18,7128,,,,0
1964-01,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,5209,,,,0
1964-01,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,1919,,,,0
1964-04,Canada,2016A000011124,Units,300,units,0,v15819027,1,66688,,,,0
1964-04,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2379,,,,0
1964-04,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,231,,,,0
1964-04,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,26,,,,0
1964-04,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1462,,,,0
1964-04,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,660,,,,0
1964-04,Quebec,2016A000224,Units,300,units,0,v15819033,7,12843,,,,0
1964-04,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,9763,,,,0
1964-04,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,3080,,,,0
1964-04,Ontario,2016A000235,Units,300,units,0,v15819036,10,35264,,,,0
1964-04,"Toronto, Ontario",2011S0503535,Units,300,units,0,v15819037,11,19630,,,,0
1964-04,"Ontario, excluding Toronto",,Units,300,units,0,v15819038,12,15634,,,,0
1964-04,Manitoba,2016A000246,Units,300,units,0,v15819039,13,2605,,,,0
1964-04,"Winnipeg, Manitoba",2011S0503602,Units,300,units,0,v15819040,14,2510,,,,0
1964-04,"Manitoba, excluding Winnipeg",,Units,300,units,0,v15819041,15,95,,,,0
1964-04,Saskatchewan,2016A000247,Units,300,units,0,v15819042,16,1837,,,,0
1964-04,Alberta,2016A000248,Units,300,units,0,v15819043,17,3180,,,,0
1964-04,British Columbia,2016A000259,Units,300,units,0,v15819044,18,8580,,,,0
1964-04,Vancouver. British Columbia,2011S0503933,Units,300,units,0,v15819045,19,6154,,,,0
1964-04,"British Columbia, excluding Vancouver",,Units,300,units,0,v15819046,20,2426,,,,0
1964-07,Canada,2016A000011124,Units,300,units,0,v15819027,1,74460,,,,0
1964-07,Atlantic provinces,2016A00011,Units,300,units,0,v15819028,2,2992,,,,0
1964-07,Newfoundland and Labrador,2016A000210,Units,300,units,0,v15819029,3,260,,,,0
1964-07,Prince Edward Island,2016A000211,Units,300,units,0,v15819030,4,28,,,,0
1964-07,Nova Scotia,2016A000212,Units,300,units,0,v15819031,5,1727,,,,0
1964-07,New Brunswick,2016A000213,Units,300,units,0,v15819032,6,977,,,,0
1964-07,Quebec,2016A000224,Units,300,units,0,v15819033,7,14391,,,,0
1964-07,"Montréal, Quebec",2011S0503462,Units,300,units,0,v15819034,8,11427,,,,0
1964-07,"Quebec, excluding Montréal",,Units,300,units,0,v15819035,9,2964,,,,0
1964-07,Ontario,2016A000235,Units,300,units,0,v15819036,10,37669,,,,0
